type,country,species,injury,date,sex,fatal
Unprovoked,USA,White shark,"no injury, board bumped",Reported 02-Jun-1975,M,False
Provoked,USA,White shark,slightly injured when he stepped on a shark provoked incident,Jun-1975,M,False
Unprovoked,USA,White shark,right foot bitten,25-May-1975,M,False
Unprovoked,USA,White shark,leg bitten,20-May 1975,F,False
Invalid,ITALY,Invalid,the press reported this as an attack by a white shark but the diver was the agressor,25-Apr-1975,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable drowning / scavenging,18-Apr-1975,M,False
Unprovoked,SOUTH AFRICA,"White shark, 600-kg [1323-lb]","no injury, rammed by shark",05-Apr-1975,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable drowning / scavenging by a white shark,29-Mar-1975,M,False
Unprovoked,AUSTRALIA,White shark,hand bitten,18-Mar-1975,F,False
Unprovoked,USA,10' shark,left leg & foot bitten,16-Mar-1975,M,False
Provoked,SOUTH AFRICA,1.5 m [5']  shark,left leg bitten  provoked incident,09-Mar-1975,M,False
Unprovoked,SOUTH AFRICA,1.5 m [5'] shark,foot severed,23-Feb-1975,M,False
Unprovoked,AUSTRALIA,"White shark, 3 m [10'] ",right leg  severed fatal,10-Feb-1975,M,True
Unprovoked,AUSTRALIA,"Carpet shark, 10' ",puncture wounds to right shoulder,09-Feb-1975,M,False
Unprovoked,AUSTRALIA,White shark,survived,07-Feb-1975,M,False
Provoked,SOUTH AFRICA,"Copper shark, 50-kg [110-b] ",foot bitten by shark he was gaffing  provoked incident,01-Feb-1975,M,False
Unprovoked,AUSTRALIA,White shark,"fatal, body not recovered",19-Jan-1975,M,True
Unprovoked,BERMUDA,8' blue shark,laceration to right ankle,1975,M,False
Unprovoked,REUNION,White shark,fatal,1975,M,True
Watercraft,AUSTRALIA,White shark,no injury to occupant,21-Dec-1974,M,False
Unprovoked,USA,White shark,laceration to foot,01-Nov-1974,M,False
Unprovoked,USA,"White shark, 5.5 m to 6 m [18' to 20'] ","thigh, lower back and surfboard bitten",28-Sep-1974,M,False
Unprovoked,USA,"White shark, 4 m to 5 m ",major injuries,14-Sep-1974,M,False
Unprovoked,ISRAEL,"Shortfin mako shark, 2.3 m [7.5'] ","bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated",07-Sep-1974,F,False
Unprovoked,USA,"White shark, 5 m to 6 m [16.5 to 20'] ",minor injuries to hand,02-Sep-1974,M,False
Unprovoked,USA,"White shark, 5 m to 6 m [16.5 to 20'] ",minor bite on foot & swimfin,02-Sep-1974,M,False
Sea Disaster,AUSTRALIA,White shark,"missing, believed taken by a shark",01-Sep-1974,M,False
Unprovoked,USA,"White shark, 4.5 m ",no injury,Sep-1974,M,False
Unprovoked,HONG KONG,White shark,survived,23-Aug-1974,M,False
Unprovoked,HONG KONG,White shark,fatal,16-Aug-1974,M,True
Unprovoked,HONG KONG,White shark,arm broken & severely lacerated,16-Aug-1974,M,False
Unprovoked,HONG KONG,White shark,left foot bitten,16-Aug-1974,M,False
Unprovoked,CROATIA,"White shark, 5 m [16.5'] ",foot severed fatal,10-Aug-1974,M,True
Unprovoked,USA,"White shark, 5 m ",minor injuries to hand,05-Aug-1974,M,False
Unprovoked,USA,"White shark, 5.5 m [18'] ",minor bite on heel & swim fin bitten,26-Jul-1974,M,False
Unprovoked,USA,small sharks',fatal,20-Jul-1974,M,True
Sea Disaster,USA,3.7 m [12'] sharks,arm bitten fatal,02-Jul-1974,M,True
Unprovoked,USA,White shark,lacerations to hip and leg,20-Jun-1974,F,False
Unprovoked,USA,"White shark, 5 m [16.5']",leg bitten,26-May-1974,M,False
Sea Disaster,BRAZIL,White shark,fatal,Reported 25-Apr-1974,M,True
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 1.5 m [5'] ",left knee lacerated,20-Apr-1974,M,False
Unprovoked,SOUTH AFRICA,White shark,lower right leg lacerated,14-Apr-1974,M,False
Unprovoked,USA,White shark,foot bitten,12-Apr-1974,F,False
Unprovoked,SOUTH AFRICA,Juvenile dusky shark,right foot lacerated,04-Apr-1974,M,False
Unprovoked,SOUTH AFRICA,1.8 m [6'] shark,"no injury, surfboard bitten",21-Mar-1974,M,False
Unprovoked,SOUTH AFRICA,White shark,"right calf removed, leg surgically amputated below the knee",13-Feb-1974,M,False
Unprovoked,SOUTH AFRICA,White shark,right shin lacerated,13-Feb-1974,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 1 m ",2 minor lacerations in foot,13-Jan-1974,M,False
Unprovoked,AUSTRALIA,White shark,"fatal, right leg severed",09-Jan-1974,M,True
Unprovoked,SOUTH AFRICA,2 m to 2.5 m [6.75'  to 8.25'] shark,knee & calf lacerated,07-Jan-1974,M,False
Unprovoked,MOZAMBIQUE,White shark,fatal,07-Jan-1974,M,True
Unprovoked,MOZAMBIQUE,White shark,fatal,07-Jan-1974,M,True
Unprovoked,AUSTRALIA,"Bronze whaler shark, 4' ",8 to 10 puncture marks around knee,Summer 1974,M,False
Unprovoked,MOZAMBIQUE,White shark,"right leg severed at knee, abrasion on left ankle",25-Dec-1973,M,False
Unprovoked,MOZAMBIQUE,White shark,fatal,21-Dec-1973,M,True
Unprovoked,PHILIPPINES,White shark,fatal,Reported 18-Dec-1973,M,True
Unprovoked,USA,White shark,leg bitten,18-Dec-1973,M,False
Unprovoked,MEXICO,White shark,fatal,Dec-1973,M,True
Unprovoked,USA,White shark,foot bitten,24-Nov-1973,M,False
Unprovoked,AUSTRALIA,White shark,knee lacerated,03-Nov-1973,M,False
Sea Disaster,SOUTH AFRICA,White shark,"fatal, thigh bitten",29-Sep-1973,M,True
Unprovoked,BAHAMAS,7' to 8' bull shark,left hand & forearm lacerated,14-Sep-1973,M,False
Unprovoked,HONG KONG,White shark,fatal,Reported 10-Sep-1973,M,True
Unprovoked,MEXICO,White shark,"fatal, leg bitten",09-Sep-1973,M,True
Unprovoked,EGYPT,Tiger shark,massive wound on right thigh with femur exposed,Sep-1973,M,False
Unprovoked,AUSTRALIA,12' shark,right foot severed,25-Aug-1973,M,False
Unprovoked,USA,1.5 m to 1.8 m [5' to 6']  blacktip shark,elbow bitten,16-Aug-1973,M,False
Unprovoked,HONG KONG,White shark,"one man was killed by a shark, the other was injured",13-Jun-1973,M,False
Unprovoked,MEXICO,White shark,"fatal, multiple bites",04-Apr-1973,M,True
Unprovoked,AUSTRALIA,White shark,survived,26-Mar-1973,M,False
Unprovoked,MOZAMBIQUE,White shark,fatal,05-Mar-1973,M,True
Unprovoked,SOUTH AFRICA,"2 m shark, possibly a dusky or blacktip shark",hip bruised,Mar-1973,M,False
Provoked,SOUTH AFRICA,1 m shark,hooked & gaffed shark bit his right elbow provoked incident,21-Jan-1973,M,False
Unprovoked,USA,1.2 m to 1.8 m [4' to 6'] shark observed in area,leg bitten,09-Jan-1973,M,False
Unprovoked,PALAU,Tiger shark,"no injury, shark grabbed scuba tank and descended to 110' before releasing him",1973,M,False
Unprovoked,PALAU,Grey reef shark,hand & right shoulder lacerated,1973,M,False
Unprovoked,SOUTH AFRICA,White shark,"no injury, surboard flung into air & dented",1973,M,False
Unprovoked,SOUTH AFRICA,White shark,lower left leg & foot bitten,31-Dec-1972,M,False
Unprovoked,MOZAMBIQUE,2 m to 3 m shark,"hip, leg, arm, hand & shoulder bitten",26-Dec-1972,M,False
Unprovoked,MEXICO,White shark,"fatal, hand severed, right leg and torso bitten",25-Dec-1972,M,True
Unprovoked,SOUTH AFRICA,"White shark, > 3 m [10']","no injury, swim fin bitten",24-Dec-1972,M,False
Unprovoked,AUSTRALIA,White shark,hand bitten,21-Dec-1972,M,False
Unprovoked,AUSTRALIA,White shark,right arm bitten,21-Oct-1972,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 10' ",lacerations to thigh & buttocks,21-Oct-1972,M,False
Unprovoked,USA,Oceanic whitetip shark x 2,"fatal, body not recovered",14-Oct-1972,M,True
Unprovoked,USA,White shark,survived,14-Oct-1972,M,False
Unprovoked,NEW ZEALAND,White shark,"no injury, leg of jeans torn off",Reported 10-Oct-1972,M,False
Unprovoked,USA,"White shark, 6 m [20'] ",legs & board bitten,09-Sep-1972,M,False
Invalid,MOZAMBIQUE,Questionable incident,feet injured,04-Sep-1972,F,False
Unprovoked,USA,White shark,left calf bitten,29-Aug-1972,M,False
Unprovoked,USA,2.4 m [8'] shark,forearm bitten,17-Aug-1972,M,False
Unprovoked,AUSTRALIA,"White shark, 10'",left foot bitten,08-Aug-1972,M,False
Unprovoked,AUSTRALIA,White shark,fatal,Reported 26-Jun-1972,M,True
Unprovoked,AUSTRALIA,White shark,fatal,Reported 26-Jun-1972,M,True
Unprovoked,USA,4.5' shark,buttocks bitten,10-Jun-1972,M,False
Unprovoked,USA,"White shark, 4.4 m to 5 m [14.5' to 16.5'] ",bitten on legs & buttock,28-May-1972,M,False
Unprovoked,FRENCH POLYNESIA,1.5 m grey reef shark,thigh bitten,06-May-1972,M,False
Unprovoked,WESTERN SAMOA,Thought to involve a tiger shark,fatal,16-Apr-1972,M,True
Unprovoked,AUSTRALIA,White shark,left leg bitten,01-Apr-1972,F,False
Unprovoked,MOZAMBIQUE,White shark,fatal,01-Apr-1972,M,True
Provoked,PACIFIC OCEAN ,White shark,arm bitten by hooked shark provoked incident,21-Mar-1972,M,False
Unprovoked,USA,White shark,leg bitten,16-Mar-1972,M,False
Unprovoked,AUSTRALIA,7' shark,laceration above knee,20-Feb-1972,M,False
Unprovoked,SOUTH AFRICA,White shark,"fatal, coroner's verdict: ""death presumably through shark attack & drowning""",01-Jan-1972,M,True
Unprovoked,SOUTH AFRICA,Zambesi shark,foot bitten,01-Jan-1972,F,False
Unprovoked,MOZAMBIQUE,"White shark, 2.5 m [8.25'] ","leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",01-Jan-1972,M,False
Unprovoked,MOZAMBIQUE,White shark,puncture wounds to arm,Jan-1972,M,False
Unprovoked,MARSHALL ISLANDS,1.8 m [6'] grey reef shark,right hand & torso lacerated,1972,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3 m [10']rk",right forearm bitten,16-Dec-1971,F,False
Unprovoked,AUSTRALIA,White shark,fatal,05-Dec-1971,M,True
Unprovoked,HONG KONG,White shark,"left leg severely bitten, surgically amputated",Reported 25-Nov-1971,M,False
Unprovoked,USA,5' to 6' shark,"right shoulder, arm & hand bitten",23-Oct-1971,M,False
Unprovoked,SOUTH AFRICA,1.5 m to 2 m shark,wrist & hand lacerated,14-Oct-1971,M,False
Unprovoked,USA,"White shark, 5 m to 6 m [16.5' to 20']  ",bitten on legs,02-Oct-1971,M,False
Unprovoked,CROATIA,White shark,fatal,07-Sep-1971,M,True
Unprovoked,AUSTRALIA,White shark,"fatal. shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",05-Sep-1971,M,True
Provoked,AUSTRALIA,"Grey nurse shark, 11'",eight puncture wounds to right leg by captive shark provoked incident,21-Aug-1971,M,False
Unprovoked,USA,White shark,laceration to left ankle,26-Jul-1971,M,False
Unprovoked,USA,"White shark, 5.5 m to 6 m [18' to 20'] ","major injuries to head, buttocks & back",19-Jul-1971,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board ",leg & surfboard bitten,30-Jun-1971,M,False
Unprovoked,BRITISH ISLES,3.6 m  porbeagle shark,"no injury, said to have been attacked by shark but drove it away with a lobster hook",01-Jun-1971,M,False
Unprovoked,KENYA,"2 m [6'9""] shark",right foot bitten,Reported 16-Apr-1971,M,False
Unprovoked,SOUTH AFRICA,White shark according to tooth pattern and witnesses,"fatal, multiple bites",11-Apr-1971,M,True
Unprovoked,MEXICO,White shark,"fatal, left thigh bitten",6-Apr-1971,M,True
Unprovoked,VENEZUELA,White shark,"fatal, body not recovered",5-Apr-1971,M,True
Unprovoked,VENEZUELA,White shark,"fatal, body not recovered",5-Apr-1971,M,True
Unprovoked,NEW ZEALAND,"White shark, 4.6 m [15'] ",lacerations to left leg,30-Mar-1971,M,False
Unprovoked,AUSTRALIA,White shark,torso lacerated,02-Jan-1971,M,False
Unprovoked,USA,White shark,"minor injury, arc of tooth impressions in wetsuit",1971,M,False
Unprovoked,AUSTRALIA,White shark,severe lacerations to thigh,1971,M,False
Unprovoked,CROATIA,White shark,fatal,1971,M,True
Unprovoked,IRAN,White shark,survived,1971,M,False
Unprovoked,IRAN,White shark,survived,1971,M,False
Unprovoked,MOZAMBIQUE,White shark,"fatal, arm severed",17-Dec-1970,M,True
Unprovoked,MOZAMBIQUE,White shark,"fatal, decapitated and arm severed",13-Dec-1970,M,True
Unprovoked,MICRONESIA,1.8 m shark,laceration to thigh,07-Dec-1970,M,False
Sea Disaster,USA,White shark,right thigh lacerated,03-Dec-1970,M,False
Unprovoked,USA,White shark,shoulder & arm bitten,24-Oct-1970,M,False
Unprovoked,USA,White shark,bitten on right leg above the ankle,Oct-1970,M,False
Unprovoked,MICRONESIA,1.8 to 2 m C. albimarginatus,lacerations & punctures to right arm & shoulder,28-Sep-1970,M,False
Provoked,PALAU,1 m shark,"another diver shot shark, shark bit his left foream  provoked incident",13-Sep-1970,M,False
Unprovoked,USA,White shark,laceration to left foot,05-Sep-1970,M,False
Provoked,AUSTRALIA,White shark,provoked incident,02-Sep-1970,M,False
Unprovoked,USA,"""Dog shark""",foot lacerated,Sep-1970,M,False
Unprovoked,USA,White shark,calf / knee injured?,Sep-1970,M,False
Provoked,USA,7.5' shark,bitten on calf by hooked shark provoked incident,22-Jun-1970,M,False
Provoked,SOUTH AFRICA,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female ",2 cm laceration on knee provoked incident,15-Jun-1970,M,False
Unprovoked,GRENADA,White shark,"fatal, multiple injuries to both legs",13-Jun-1970,M,True
Unprovoked,GRENADA,White shark,"fatal, body not recovered",13-Jun-1970,M,True
Unprovoked,GRENADA,White shark,"fatal, body not recovered",4-Apr-1970,M,True
Unprovoked,SOLOMON ISLANDS,Wobbegong shark,no details,Apr-1970,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered.",31-Mar-1970,M,False
Unprovoked,USA,White shark,foot & calf lacerated,23-Mar-1970,M,False
Unprovoked,MOZAMBIQUE,White shark,"hands severed, forearm severely lacerated",23-Jan-1970,M,False
Unprovoked,MOZAMBIQUE,Zambesi shark,leg severed at knee,23-Jan-1970,M,False
Unprovoked,MOZAMBIQUE,Zambesi shark,"arm severed, thigh bitten",23-Jan-1970,M,False
Unprovoked,MOZAMBIQUE,Zambesi shark,leg severed at knee,23-Jan-1970,M,False
Sea Disaster,EGYPT,White shark,fatal,    16-Jan-1970,M,True
Unprovoked,MEXICO,White shark,leg bitten,10-Jan-1970,M,False
Unprovoked,ENGLAND,8' blue shark,leg bitten,Reported 09-Jan-1970,M,False
Unprovoked,PAPUA NEW GUINEA,White shark,lacerations to back, Jan-1970,M,False
Unprovoked,SRI LANKA,White shark,swim fins badly torn by the shark's teeth,1970s,M,False
Unprovoked,SPAIN,Blue shark,minor injury,Late 1970s,M,False
Watercraft,ITALY,White shark,no injury,Ca. 1970,M,False
Unprovoked,CROATIA,White shark,no details,1970,M,False
Unprovoked,IRAQ,White shark,left hand severed,1970s,F,False
Unprovoked,IRAQ,White shark,left foot severed,1970s,F,False
Unprovoked,IRAQ,White shark,"fatal, left leg severed",1970s,M,True
Unprovoked,IRAQ,White shark,left hand bitten,1970s,M,False
Unprovoked,AUSTRALIA,White shark,left thigh lacerated,30-Nov-1969,M,False
Unprovoked,USA,>2.4 m [8'] shark,"abrasions to upper leg, laceration to ankle, scuba tank bitten",11-Nov-1969,M,False
Provoked,AUSTRALIA,White shark,provoked incident,05-Nov-1969,M,False
Unprovoked,USA,Oceanic whitetip shark,no injury,14-Oct-1969,M,False
Unprovoked,USA,"White shark, 4.3 m 4.9 m [14' to 16'] ",leg & ankle severely bitten,06-Sep-1969,M,False
Unprovoked,USA,White shark,laceration to right leg,29-Aug-1969,M,False
Provoked,USA,White shark,leg bitten by netted shark provoked incident,22-Aug-1969,M,False
Unprovoked,USA,White shark,lacerations to lower leg,02-Aug-1969,M,False
Unprovoked,USA,4' shark,lacerations to right lower leg & left arm and hand,02-Aug-1969,M,False
Provoked,ENGLAND,White shark,arm lacerated. recorded as provoked incident,27-Jul-1969,M,False
Provoked,USA,Nurse shark,scrape on head. recorded as provoked incident,22-Jul-1969,M,False
Unprovoked,USA,"White shark, 5 m [16.5'] ","foot bitten, minor injury",20-Jul-1969,M,False
Unprovoked,USA,White shark,no details,27-Jun-1969,M,False
Unprovoked,JAMAICA,White shark,multiple lacerations,12-Jun-1969,M,False
Unprovoked,USA,White shark,no injury,Jun-1969,M,False
Provoked,USA,2' to 3' shark,foot lacerated when he stepped on the shark  provoked incident,25-May-1969,M,False
Provoked,USA,Nurse shark,laceration to buttocks recorded as provoked incident,24-May-1969,M,False
Invalid,AUSTRALIA,"Considered a ""Doubtful"" incident",no injury,22-Apr-1969,M,False
Provoked,USA,"Lemon shark, 9' ",laceration to foot from dead shark provoked incident,19-Aug-1969,M,False
Provoked,AUSTRALIA,Mako shark,foot lacerated. recorded as provoked incident,25-Mar-1969,M,False
Unprovoked,USA,"White shark, identified by tooth fragments in surfboard",leg & surfboard bitten,09-Mar-1969,M,False
Provoked,AUSTRALIA,7-gill shark,lacerations to hand from hooked shark provoked incident,Reported 17-Feb-1969,M,False
Invalid,AUSTRALIA,Questionable incident,no details,Feb-1969,M,False
Unprovoked,AUSTRALIA,White shark,abrasions and lacerations to lower right leg,27-Jan-1969,M,False
Unprovoked,AUSTRALIA,Carpet shark,minor injury,Jan-1969,M,False
Invalid,SOUTH AFRICA,Questionable incident,no injury,29-Dec-1968,M,False
Provoked,AUSTRALIA,"Grey nurse shark, 10' ",laceration to finger by a captive shark provoked incident,26-Dec-1968,M,False
Unprovoked,NEW ZEALAND,White shark,"hit in face by shark, arm abraded, surfboard bitten",25-Dec-1968,M,False
Unprovoked,AUSTRALIA,White shark,survived,09-Dec-1968,M,False
Unprovoked,SOUTH AFRICA,"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']","no injury, left elbow & torso bumped by sharks",02-Dec-1968,M,False
Invalid,SOUTH AFRICA,Questionable incident,no injury,Dec-1968,M,False
Watercraft,SOUTH AFRICA,"90-kg ""blackfin"" shark","shark leapt into boat, landed on hlope's back, then bit his left forearm",06-Nov-1968,M,False
Provoked,AUSTRALIA,White shark,abrasion on shoulder recorded as provoked incident,02-Nov-1968,M,False
Provoked,BAHAMAS,White shark,calf injured recorded as provoked incident,29-Oct-1968,M,False
Unprovoked,USA,3 m [10'] bull shark,swim fin bitten,13-Oct-1968,M,False
Unprovoked,NEW ZEALAND,"White shark, 4.3 m [14'], (tooth fragment recovered)","fatal, left leg bitten, femoral artery severed",15-Sep-1968,M,True
Unprovoked,USA,White shark,leg & arm bitten,21-Aug-1968,M,False
Unprovoked,FRENCH POLYNESIA,White shark,finger severed,13-Aug-1968,M,False
Unprovoked,COLUMBIA,2 m shark,lacerations to head,08-Aug-1968,M,False
Unprovoked,USA,"White shark, 4 m [13'] ",major injury to torso,27-Jul-1968,M,False
Unprovoked,USA,White shark,abrasions on lower leg,23-Jul-1968,M,False
Unprovoked,USA,4m [13'] shark,swimfin & knee bitten,16-Jul-1968,M,False
Unprovoked,BAHAMAS,White shark,"fatal, taken by shark",10-Jul-1968,M,True
Invalid,MEXICO,Not authenticated,no injury,Jul-1968,M,False
Unprovoked,BAHAMAS,1.5 m to 2 m [5' to 6.75'] Caribbean reef shark ,"bumped shoulder, bit head",25-Jun-1968,M,False
Unprovoked,USA,White shark,lacerations to lower right leg & andkle,09-Jun-1968,M,False
Unprovoked,ENGLAND,Blue shark,arm severely lacerated,Jun-1968,M,False
Unprovoked,PAPUA NEW GUINEA,White shark,lower leg severely lacerated,May-1968,M,False
Invalid,USA,Shark involvement not confirmed,foot severely injured,29-Apr-1968,M,False
Unprovoked,USA,2.7 m [9'] silky shark,"buttock, both legs & arm bitten",20-Apr-1968,M,False
